Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,159,Trigger Address,159,
Trigger Level,2.720E-01,Trigger Level,2.720E-01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+00,Probe Ratio,1.000e+00,
Vertical Scale,2.000e-01,Vertical Scale,2.000e+00,
Vertical Position,0.000e+00,Vertical Position,0.000e+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-06,Horizontal Scale,5.000E-06,
Horizontal Position,2.420E-05,Horizontal Position,2.420E-05,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000e-09,Sampling Period,5.000e-09,
Horizontal Old Scale,5.000E-06,Horizontal Old Scale,5.000E-06,
Horizontal Old Position,2.420E-05,Horizontal Old Position,2.420E-05,
Firmware,V1.32,Firmware,V1.32,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
1, ,23, ,
3, ,22, ,
2, ,22, ,
2, ,23, ,
1, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
3, ,23, ,
2, ,23, ,
3, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
4, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
1, ,23, ,
4, ,23, ,
1, ,23, ,
2, ,23, ,
3, ,23, ,
2, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,22, ,
2, ,22, ,
3, ,23, ,
3, ,23, ,
2, ,23, ,
3, ,23, ,
2, ,22, ,
2, ,22, ,
2, ,22, ,
2, ,22, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,22, ,
1, ,22, ,
3, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
3, ,23, ,
3, ,23, ,
3, ,23, ,
3, ,23, ,
3, ,23, ,
3, ,23, ,
3, ,23, ,
2, ,23, ,
1, ,23, ,
3, ,22, ,
2, ,22, ,
2, ,23, ,
1, ,22, ,
3, ,22, ,
3, ,23, ,
2, ,23, ,
3, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
3, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
3, ,23, ,
1, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,22, ,
2, ,22, ,
2, ,23, ,
3, ,23, ,
2, ,22, ,
2, ,22, ,
2, ,22, ,
2, ,23, ,
3, ,23, ,
7, ,23, ,
1, ,23, ,
1, ,23, ,
0, ,23, ,
26, ,23, ,
79, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
121, ,23, ,
24, ,23, ,
-17, ,23, ,
70, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
125, ,23, ,
124, ,23, ,
124, ,22, ,
122, ,22, ,
117, ,23, ,
106, ,23, ,
104, ,23, ,
100, ,23, ,
94, ,23, ,
88, ,23, ,
83, ,23, ,
79, ,23, ,
76, ,23, ,
69, ,23, ,
65, ,23, ,
63, ,23, ,
59, ,23, ,
54, ,23, ,
53, ,23, ,
50, ,23, ,
48, ,23, ,
43, ,23, ,
41, ,23, ,
40, ,23, ,
36, ,23, ,
35, ,23, ,
34, ,23, ,
30, ,23, ,
30, ,23, ,
27, ,23, ,
24, ,22, ,
24, ,22, ,
22, ,22, ,
20, ,23, ,
19, ,23, ,
19, ,23, ,
17, ,23, ,
15, ,23, ,
13, ,23, ,
12, ,23, ,
13, ,23, ,
10, ,23, ,
9, ,23, ,
9, ,23, ,
8, ,23, ,
7, ,23, ,
6, ,23, ,
7, ,23, ,
6, ,23, ,
4, ,23, ,
4, ,23, ,
4, ,23, ,
3, ,23, ,
2, ,23, ,
1, ,23, ,
2, ,23, ,
0, ,23, ,
1, ,23, ,
1, ,23, ,
1, ,23, ,
0, ,23, ,
0, ,23, ,
0, ,23, ,
0, ,23, ,
