Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,159,Trigger Address,159,
Trigger Level,2.720E-01,Trigger Level,2.720E-01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+00,Probe Ratio,1.000e+00,
Vertical Scale,2.000e-01,Vertical Scale,2.000e+00,
Vertical Position,0.000e+00,Vertical Position,0.000e+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-06,Horizontal Scale,5.000E-06,
Horizontal Position,2.420E-05,Horizontal Position,2.420E-05,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000e-09,Sampling Period,5.000e-09,
Horizontal Old Scale,5.000E-06,Horizontal Old Scale,5.000E-06,
Horizontal Old Position,2.420E-05,Horizontal Old Position,2.420E-05,
Firmware,V1.32,Firmware,V1.32,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-13, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
2, ,-14, ,
2, ,-14, ,
2, ,-13, ,
2, ,-13, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-13, ,
0, ,-13, ,
2, ,-14, ,
2, ,-14, ,
2, ,-14, ,
2, ,-14, ,
1, ,-14, ,
2, ,-14, ,
2, ,-14, ,
2, ,-13, ,
2, ,-14, ,
1, ,-14, ,
2, ,-14, ,
2, ,-14, ,
1, ,-13, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
2, ,-14, ,
2, ,-13, ,
2, ,-14, ,
2, ,-14, ,
1, ,-14, ,
1, ,-13, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-13, ,
1, ,-14, ,
2, ,-14, ,
2, ,-14, ,
2, ,-13, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-13, ,
1, ,-14, ,
2, ,-14, ,
1, ,-13, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-14, ,
2, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-13, ,
2, ,-13, ,
1, ,-13, ,
1, ,-13, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-14, ,
2, ,-14, ,
2, ,-14, ,
2, ,-13, ,
2, ,-13, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-14, ,
2, ,-14, ,
0, ,-13, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
2, ,-14, ,
2, ,-14, ,
2, ,-13, ,
2, ,-14, ,
2, ,-14, ,
1, ,-13, ,
1, ,-13, ,
2, ,-13, ,
2, ,-14, ,
2, ,-14, ,
2, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
2, ,-13, ,
1, ,-13, ,
1, ,-13, ,
1, ,-13, ,
2, ,-13, ,
2, ,-14, ,
2, ,-14, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-13, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
0, ,-14, ,
2, ,-14, ,
2, ,-14, ,
2, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-13, ,
2, ,-13, ,
2, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
82, ,-13, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
121, ,-14, ,
116, ,-14, ,
18, ,-14, ,
-14, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-13, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
125, ,-14, ,
124, ,-14, ,
124, ,-14, ,
115, ,-13, ,
110, ,-13, ,
105, ,-13, ,
103, ,-14, ,
94, ,-14, ,
91, ,-13, ,
86, ,-14, ,
83, ,-14, ,
74, ,-14, ,
71, ,-14, ,
67, ,-14, ,
65, ,-14, ,
59, ,-14, ,
56, ,-14, ,
55, ,-14, ,
51, ,-13, ,
47, ,-13, ,
46, ,-13, ,
42, ,-13, ,
40, ,-14, ,
37, ,-14, ,
36, ,-14, ,
34, ,-14, ,
32, ,-14, ,
29, ,-14, ,
27, ,-14, ,
25, ,-14, ,
24, ,-14, ,
22, ,-14, ,
20, ,-14, ,
19, ,-14, ,
17, ,-14, ,
15, ,-14, ,
15, ,-14, ,
